"Customer","Customer_Age","Gender","Dependent_count","Education_Level","Marital_Status","Income_Category","Months_on_book","Total_Relationship_Count","Months_Inactive_12_mon","Contacts_Count_12_mon","Credit_Limit","Total_Revolving_Bal","Avg_Open_To_Buy","Total_Amt_Chng_Q4_Q1","Total_Trans_Amt","Total_Trans_Ct","Total_Ct_Chng_Q4_Q1","Avg_Utilization_Ratio","Churned","Pred_Prob","Risk_Level"
2737,36,"F",3,"Graduate","Single","$40K - $60K",28,3,2,3,3701,969,2732,1.079,3222,86,0.623,0.262,0,0.00971568757049129,"Low"
2738,30,"F",2,"Graduate","Single","Less than $40K",18,3,1,4,4199,1903,2296,1.059,3016,67,0.763,0.453,0,0.0521785146553169,"Low"
2739,34,"M",3,"High School","Single","$40K - $60K",21,4,1,3,4353,1655,2698,0.806,2664,81,0.884,0.38,0,0.00874296281305168,"Low"
2740,38,"F",4,"College","Married","$40K - $60K",36,4,4,4,4913,2517,2396,0.348,899,28,0.273,0.512,1,0.475969609068379,"Medium"
2741,39,"F",4,"Post-Graduate","Married","Less than $40K",22,3,3,1,5454,1108,4346,1.021,2674,67,0.675,0.203,0,0.0211739730783416,"Low"
2742,32,"F",0,"Graduate","Married","Unknown",26,3,3,2,2172,1381,791,1.145,2945,69,0.408,0.636,0,0.0107983358073585,"Low"
2743,36,"M",2,"Doctorate","Single","$40K - $60K",26,4,3,2,2845,2517,328,0.686,2396,51,0.5,0.885,0,0.0242515058303216,"Low"
2744,37,"F",3,"High School","Single","Unknown",28,3,1,4,18570,1524,17046,1.385,3999,96,0.846,0.082,0,0.00649342644924008,"Low"
2745,45,"M",4,"Uneducated","Married","$60K - $80K",33,5,2,4,25907,745,25162,0.607,2058,56,0.806,0.029,0,0.113333472860157,"Low"
2746,38,"F",3,"Uneducated","Single","Less than $40K",33,5,3,2,2206,2018,188,0.648,1739,35,0.667,0.915,0,0.0812396873625679,"Low"
2747,31,"M",0,"Graduate","Single","$40K - $60K",24,3,1,4,12050,1732,10318,0.804,2015,46,0.704,0.144,0,0.327061987840381,"Medium"
2748,65,"M",0,"High School","Unknown","Less than $40K",36,3,3,2,2107,1008,1099,0.953,3913,67,0.523,0.478,0,0.0307661533036111,"Low"
2749,63,"F",0,"Graduate","Married","Less than $40K",36,6,3,4,2107,1351,756,0.521,1320,35,0.522,0.641,0,0.299355868297526,"Medium"
2750,65,"M",1,"Graduate","Married","Less than $40K",56,3,2,5,3539,2517,1022,0.346,1463,31,0.632,0.711,0,0.45539376891716,"Medium"
2751,43,"F",3,"College","Married","Unknown",36,3,3,4,27175,775,26400,0.543,3814,72,0.8,0.029,0,0.0484886150676932,"Low"
2752,51,"M",1,"Graduate","Married","$40K - $60K",36,6,2,2,17905,980,16925,0.731,4399,64,0.778,0.055,0,0.075295209740994,"Low"
2753,37,"M",3,"Graduate","Married","$60K - $80K",31,3,1,3,4940,1199,3741,1.57,3246,57,0.9,0.243,0,0.152392828500362,"Low"
2754,55,"F",1,"Graduate","Married","Unknown",43,5,4,2,3161,1389,1772,0.307,1547,30,0.429,0.439,0,0.334355080931862,"Medium"
2755,27,"M",0,"Uneducated","Single","$60K - $80K",36,4,3,3,2464,0,2464,0.502,2636,50,0.429,0,0,0.388129857605533,"Medium"
2756,34,"F",0,"High School","Married","$40K - $60K",36,5,1,3,3203,2229,974,1.146,2625,52,0.625,0.696,0,0.0634415838488673,"Low"
2757,32,"F",1,"College","Divorced","Less than $40K",36,3,5,4,1835,1017,818,0.82,2801,79,0.519,0.554,0,0.0125439060004664,"Low"
2758,49,"F",5,"Uneducated","Single","Less than $40K",39,3,2,2,1993,0,1993,0.539,4075,76,0.689,0,0,0.0518263655960358,"Low"
2759,39,"M",2,"Unknown","Married","$80K - $120K",27,3,3,2,34516,1629,32887,1.078,3448,53,1.038,0.047,0,0.0688426732238471,"Low"
2760,27,"M",0,"Post-Graduate","Single","Unknown",22,5,2,2,7130,873,6257,0.53,2498,37,0.321,0.122,0,0.432305557053394,"Medium"
2761,30,"M",1,"Uneducated","Divorced","Unknown",22,5,3,4,12539,910,11629,0.856,2643,72,0.674,0.073,0,0.0531727065668129,"Low"
2762,39,"M",4,"High School","Married","$80K - $120K",25,6,2,3,8208,0,8208,1.568,3135,39,1.167,0,0,0.640070266730016,"High"
2763,42,"M",2,"Doctorate","Married","$80K - $120K",32,4,2,2,26222,1073,25149,1.288,1988,30,0.579,0.041,0,0.378657612712577,"Medium"
2764,55,"M",4,"College","Divorced","$80K - $120K",36,4,2,3,34173,1194,32979,1.056,3731,69,0.816,0.035,0,0.0278027756407628,"Low"
2765,57,"F",2,"Graduate","Married","$40K - $60K",49,5,1,2,3377,1720,1657,0.491,1621,32,0.391,0.509,0,0.255632575543686,"Medium"
2766,53,"M",2,"Graduate","Married","$120K +",43,6,3,2,5882,2335,3547,0.579,1380,30,0.667,0.397,0,0.315843350749166,"Medium"
2767,51,"M",0,"Graduate","Married","$80K - $120K",40,4,3,2,7158,0,7158,0.904,2113,60,0.875,0,0,0.0838529789884861,"Low"
2768,47,"M",3,"Graduate","Married","Less than $40K",41,6,1,4,5833,1747,4086,0.551,3732,75,0.531,0.3,0,0.0457124663808948,"Low"
2769,26,"F",0,"High School","Single","$40K - $60K",36,6,3,4,4152,0,4152,0.804,2351,42,0.312,0,0,0.650980674213888,"High"
2770,37,"M",2,"High School","Single","$40K - $60K",24,6,2,3,11699,1758,9941,0.869,2007,46,1,0.15,0,0.230384609363793,"Low"
2771,45,"F",2,"Uneducated","Single","$40K - $60K",35,6,3,2,4505,1562,2943,0.604,3968,68,0.619,0.347,0,0.0366384784502287,"Low"
2772,55,"M",2,"Uneducated","Single","$60K - $80K",48,6,3,2,7667,1193,6474,1.101,3915,76,0.617,0.156,0,0.0241012074094099,"Low"
2773,37,"M",4,"Graduate","Single","$120K +",28,3,3,4,34516,0,34516,0.572,2574,62,0.771,0,0,0.0584346161350319,"Low"
2774,36,"F",3,"Graduate","Single","Less than $40K",31,3,2,3,2937,2159,778,0.67,2511,51,0.7,0.735,0,0.0607080332965047,"Low"
2775,36,"F",1,"High School","Single","Less than $40K",36,5,3,4,5257,1572,3685,0.732,2822,73,0.659,0.299,0,0.039417703656663,"Low"
2776,39,"M",2,"High School","Single","$60K - $80K",28,6,3,3,10331,957,9374,0.699,3695,81,0.653,0.093,0,0.0226552793156603,"Low"
2777,47,"M",4,"Uneducated","Married","$60K - $80K",36,3,3,3,17557,0,17557,0.667,2142,62,0.378,0,0,0.0685214080878899,"Low"
2778,56,"F",2,"Graduate","Married","Less than $40K",48,6,3,2,4366,1590,2776,0.475,1596,37,0.423,0.364,0,0.229146420524527,"Low"
2779,56,"F",4,"Uneducated","Single","Unknown",46,6,2,2,8037,2276,5761,0.406,3271,71,0.543,0.283,0,0.0207142685745128,"Low"
2780,38,"M",2,"Unknown","Married","Less than $40K",25,4,1,3,8740,734,8006,1.072,2169,38,0.652,0.084,0,0.499691420168845,"Medium"
2781,49,"M",3,"Graduate","Single","$120K +",36,6,2,3,8514,2013,6501,0.664,4098,74,0.542,0.236,0,0.0386850488120555,"Low"
2782,36,"F",4,"Uneducated","Single","Less than $40K",26,4,3,2,2002,1377,625,0.671,2411,60,0.714,0.688,0,0.0182805769532313,"Low"
2783,51,"F",0,"High School","Married","Less than $40K",35,5,3,4,3132,1815,1317,1.018,3607,60,0.935,0.58,0,0.0945642575430609,"Low"
2784,26,"F",0,"College","Married","$40K - $60K",13,2,3,3,2010,1070,940,0.906,3625,85,0.635,0.532,0,0.00640698146361443,"Low"
2785,34,"M",2,"Graduate","Married","$80K - $120K",23,6,2,3,7567,1776,5791,1.275,2361,45,0.875,0.235,0,0.269716771345946,"Medium"
2786,56,"M",2,"High School","Single","$40K - $60K",40,2,6,4,2381,651,1730,0.592,1920,46,0.586,0.273,1,0.341683278994427,"Medium"
2787,43,"M",2,"Graduate","Married","$120K +",31,6,2,4,34516,2398,32118,0.917,4976,88,0.692,0.069,0,0.0103329155990236,"Low"
2788,47,"F",3,"Uneducated","Single","Unknown",42,6,2,2,16411,1179,15232,0.849,3929,71,0.732,0.072,0,0.0328030367383816,"Low"
2789,42,"F",4,"High School","Single","Less than $40K",19,3,2,0,1438.3,0,1438.3,0.676,3786,67,0.523,0,0,0.0446507793617367,"Low"
2790,38,"M",2,"College","Married","$80K - $120K",30,2,3,2,3735,1421,2314,0.57,1837,47,0.741,0.38,0,0.106476428737884,"Low"
2791,55,"M",2,"Post-Graduate","Single","$60K - $80K",37,3,3,1,22127,1799,20328,0.758,3591,63,0.75,0.081,0,0.0289016516860837,"Low"
2792,28,"F",0,"College","Married","Unknown",36,3,2,3,5685,0,5685,1.334,2395,62,1,0,0,0.128093978454037,"Low"
2793,62,"M",0,"Uneducated","Single","$40K - $60K",50,3,2,2,7348,1466,5882,1.236,3066,61,0.694,0.2,0,0.0647948794937607,"Low"
2794,52,"M",2,"Doctorate","Married","$120K +",34,3,2,3,11188,0,11188,0.658,2109,47,0.621,0,1,0.30836428508665,"Medium"
2795,44,"M",3,"Unknown","Single","$120K +",37,3,1,5,3650,2512,1138,0.739,4599,75,0.471,0.688,0,0.0393813107378422,"Low"
2796,29,"F",0,"Post-Graduate","Single","Less than $40K",36,5,2,3,5076,1223,3853,0.83,2675,57,0.629,0.241,0,0.123544327731037,"Low"
2797,48,"M",4,"Doctorate","Unknown","$60K - $80K",38,3,2,2,32658,1482,31176,0.941,2023,37,0.542,0.045,0,0.180976693581695,"Low"
2798,43,"M",3,"Uneducated","Married","$80K - $120K",36,6,1,2,28634,926,27708,0.622,4549,68,0.659,0.032,0,0.0353269942756176,"Low"
2799,49,"F",2,"Post-Graduate","Single","Less than $40K",36,3,1,3,3414,1473,1941,0.597,1803,49,1.13,0.431,0,0.120139292482753,"Low"
2800,43,"M",3,"High School","Married","$80K - $120K",23,5,6,1,12315,0,12315,0.895,2028,51,0.545,0,0,0.0944140047130879,"Low"
2801,41,"F",2,"Uneducated","Married","$40K - $60K",36,5,3,3,2690,1912,778,0.692,3636,68,0.7,0.711,0,0.0201684945793876,"Low"
2802,43,"M",3,"Graduate","Single","$80K - $120K",31,6,2,4,12165,0,12165,1.16,4066,74,0.682,0,0,0.0955082361634156,"Low"
2803,51,"F",3,"Graduate","Single","Less than $40K",46,4,1,3,1792,989,803,1.202,3102,63,0.703,0.552,0,0.042735456164292,"Low"
2804,37,"M",1,"Doctorate","Single","$80K - $120K",30,6,3,2,19300,1181,18119,0.764,2660,70,0.795,0.061,0,0.0192081760029715,"Low"
2805,37,"M",2,"College","Divorced","$40K - $60K",24,3,3,4,8120,2098,6022,0.826,3161,54,0.688,0.258,0,0.236897303844588,"Low"
2806,49,"M",5,"High School","Married","$80K - $120K",36,6,2,2,2292,0,2292,0.976,2584,60,0.5,0,0,0.124369036688604,"Low"
2807,36,"M",3,"Uneducated","Married","$80K - $120K",25,6,3,3,21434,1345,20089,0.603,2143,46,0.586,0.063,0,0.201312898088205,"Low"
2808,50,"F",2,"Graduate","Unknown","Less than $40K",43,5,3,4,3424,0,3424,0.765,4929,74,0.574,0,0,0.189751104865501,"Low"
2809,64,"M",0,"Unknown","Married","Less than $40K",51,3,3,4,2787,1201,1586,0.372,1662,39,0.625,0.431,0,0.368839808338895,"Medium"
2810,36,"F",3,"College","Single","Unknown",30,3,2,3,8696,1482,7214,1.002,2847,67,0.971,0.17,0,0.0540403487052745,"Low"
2811,45,"M",3,"High School","Married","$120K +",35,6,2,3,32446,1974,30472,0.621,1717,39,0.696,0.061,0,0.198757858117296,"Low"
2812,41,"M",2,"Graduate","Married","$80K - $120K",36,6,3,3,9133,2140,6993,0.649,4101,88,0.63,0.234,0,0.00957921780480621,"Low"
2813,47,"M",3,"Graduate","Single","$80K - $120K",37,3,3,2,5116,1468,3648,0.91,2361,49,0.633,0.287,0,0.129378018342631,"Low"
2814,39,"M",2,"Post-Graduate","Married","$80K - $120K",31,5,2,1,18974,2517,16457,1.369,2783,56,1,0.133,0,0.0410797183720193,"Low"
2815,51,"M",4,"Uneducated","Single","$120K +",45,6,2,3,12101,2517,9584,0.733,2086,44,0.76,0.208,0,0.238963314078559,"Low"
2816,55,"F",1,"High School","Single","$40K - $60K",46,5,3,4,5379,962,4417,0.827,1778,40,0.29,0.179,0,0.50170896886428,"High"
2817,57,"M",3,"Graduate","Single","$120K +",49,5,3,3,32676,2134,30542,0.797,3990,88,0.76,0.065,0,0.00467964174949856,"Low"
2818,36,"M",4,"Doctorate","Divorced","$120K +",31,4,3,4,34516,1491,33025,0.93,2243,60,0.935,0.043,0,0.0550388502744055,"Low"
2819,35,"M",2,"Unknown","Married","$120K +",36,4,3,4,15202,1779,13423,1.392,3143,60,0.579,0.117,0,0.15152977129815,"Low"
2820,38,"F",2,"Unknown","Single","Less than $40K",23,5,3,3,2222,1205,1017,0.395,1823,49,0.361,0.542,0,0.0960234926645681,"Low"
2821,39,"F",2,"Graduate","Single","$40K - $60K",34,5,2,4,5858,0,5858,0.853,3355,77,0.604,0,0,0.0731001683367785,"Low"
2822,65,"F",0,"Graduate","Married","$40K - $60K",56,4,2,1,2692,1869,823,0.744,1594,36,0.895,0.694,0,0.0787888994716511,"Low"
2823,51,"F",2,"Uneducated","Married","Less than $40K",45,6,3,2,7165,2037,5128,0.83,3553,78,0.902,0.284,0,0.0121600705435966,"Low"
2824,50,"F",3,"High School","Married","Less than $40K",38,4,3,4,1438.3,0,1438.3,1.084,4740,81,0.653,0,0,0.10571920137953,"Low"
2825,38,"M",2,"Graduate","Single","$60K - $80K",32,5,1,1,26988,1587,25401,0.968,3732,70,0.795,0.059,0,0.0129712402754375,"Low"
2826,36,"F",1,"Unknown","Single","Less than $40K",26,3,3,2,2517,0,2517,0.946,3569,62,0.771,0,0,0.148681108863411,"Low"
2827,41,"M",3,"Uneducated","Married","$40K - $60K",28,3,3,4,11091,0,11091,0.522,1234,34,0.308,0,1,0.647705601560841,"High"
2828,40,"F",4,"Graduate","Single","Less than $40K",27,3,1,2,10745,2084,8661,0.847,3502,87,0.933,0.194,0,0.00527966982024248,"Low"
2829,40,"F",2,"Doctorate","Married","Unknown",36,3,2,4,34516,1686,32830,0.562,3146,66,0.65,0.049,0,0.0440252783297644,"Low"
2830,26,"M",1,"Unknown","Single","Less than $40K",20,6,3,2,2590,1748,842,0.626,2804,52,0.486,0.675,0,0.0471086033329349,"Low"
2831,46,"F",4,"Uneducated","Single","Less than $40K",35,5,2,3,2722,1473,1249,0.737,3129,69,0.683,0.541,0,0.0238279730975555,"Low"
2832,49,"F",1,"Graduate","Married","Less than $40K",36,3,3,0,8228,0,8228,0.942,4277,80,0.702,0,0,0.0110847711858605,"Low"
2833,38,"M",2,"Unknown","Divorced","$80K - $120K",33,6,3,2,11777,1781,9996,0.565,2763,62,0.879,0.151,0,0.0485308188867998,"Low"
2834,49,"M",4,"Graduate","Married","$80K - $120K",39,5,1,1,34516,543,33973,0.745,3951,76,0.9,0.016,0,0.00613746542643764,"Low"
2835,38,"M",3,"Graduate","Divorced","$80K - $120K",24,5,1,3,14821,0,14821,0.661,2876,60,0.622,0,0,0.123133199095936,"Low"
2836,36,"M",1,"Unknown","Single","Less than $40K",23,4,3,1,1438.3,928,510.3,0.851,2186,59,0.686,0.645,0,0.0132673380554483,"Low"
2837,34,"F",2,"Unknown","Single","Less than $40K",21,6,3,4,6131,1270,4861,0.913,2825,93,0.824,0.207,0,0.00686473794314482,"Low"
2838,52,"M",5,"Graduate","Single","$80K - $120K",47,3,1,1,2047,665,1382,0.605,3452,66,0.692,0.325,0,0.0269803676600782,"Low"
2839,40,"M",3,"Graduate","Single","$80K - $120K",34,3,3,4,22380,1220,21160,0.884,3756,73,0.78,0.055,0,0.0502090917640958,"Low"
2840,36,"M",3,"Uneducated","Married","$80K - $120K",31,3,3,5,12893,1620,11273,0.576,2300,60,0.463,0.126,0,0.180742560389898,"Low"
2841,53,"M",3,"High School","Single","Less than $40K",47,5,1,1,3351,1474,1877,0.393,4294,66,0.737,0.44,0,0.0260384250942101,"Low"
2842,40,"F",2,"Unknown","Married","Less than $40K",36,3,1,1,5093,2376,2717,0.822,2341,57,0.541,0.467,0,0.0238343511292652,"Low"
2843,54,"M",1,"Graduate","Married","$40K - $60K",44,5,1,1,1438.3,0,1438.3,0.576,1585,37,0.609,0,0,0.374871702645477,"Medium"
2844,34,"M",4,"College","Single","$60K - $80K",20,5,1,2,2165,1952,213,0.822,2651,81,0.841,0.902,0,0.0013496870936478,"Low"
2845,62,"F",1,"Unknown","Single","Less than $40K",54,4,2,2,1927,1319,608,0.672,4199,77,0.75,0.684,0,0.00730356802850633,"Low"
2846,39,"F",1,"College","Single","Unknown",36,6,1,1,22125,0,22125,0.645,1994,57,0.727,0,0,0.0335981032412196,"Low"
2847,50,"M",3,"Graduate","Married","$120K +",42,4,5,3,34516,2099,32417,0.449,1756,35,0.25,0.061,0,0.253739369567031,"Medium"
2848,36,"M",1,"Uneducated","Divorced","$120K +",28,6,3,2,5260,1116,4144,0.664,2546,62,0.879,0.212,0,0.051073773976451,"Low"
2849,56,"F",1,"Graduate","Married","Less than $40K",48,6,2,2,1438.3,0,1438.3,0.706,1336,32,0.882,0,0,0.590260849671179,"High"
2850,44,"F",4,"Graduate","Single","$40K - $60K",30,3,4,4,4333,0,4333,0.463,1558,40,0.538,0,1,0.617313137807947,"High"
2851,45,"M",4,"College","Married","Less than $40K",32,3,2,1,6637,0,6637,0.675,1801,48,0.6,0,0,0.144635790857626,"Low"
2852,36,"M",2,"Graduate","Single","$120K +",28,4,3,0,3174,2462,712,0.772,3140,74,0.721,0.776,0,0.00174565299935002,"Low"
2853,44,"F",2,"Uneducated","Married","Less than $40K",36,4,2,5,4396,1489,2907,1.258,3942,69,0.816,0.339,0,0.129174154446064,"Low"
2854,52,"M",2,"Graduate","Single","$80K - $120K",48,6,2,4,34516,0,34516,0.539,1661,40,0.6,0,1,0.276142946760378,"Medium"
2855,50,"F",3,"Graduate","Married","Less than $40K",37,3,2,4,1438.3,0,1438.3,0.868,3637,80,0.86,0,0,0.0756298086479523,"Low"
2856,53,"F",2,"Graduate","Single","Less than $40K",43,3,3,4,6853,1480,5373,0.513,2833,70,0.556,0.216,0,0.0612977458743913,"Low"
2857,36,"F",0,"Unknown","Married","Less than $40K",24,4,3,2,2570,2230,340,0.686,1755,42,0.448,0.868,0,0.0472859522155385,"Low"
2858,27,"F",1,"College","Divorced","Less than $40K",15,5,3,2,2166,890,1276,1.024,3563,70,0.892,0.411,0,0.0238942088107219,"Low"
2859,31,"F",1,"College","Divorced","Unknown",27,4,6,3,3647,1480,2167,0.76,2271,60,0.364,0.406,0,0.0555143505524808,"Low"
2860,36,"M",3,"Unknown","Single","$60K - $80K",36,3,1,1,11684,1786,9898,0.806,2969,88,0.796,0.153,0,0.00253512411015192,"Low"
2861,41,"M",4,"High School","Single","$60K - $80K",28,6,1,4,4475,0,4475,0.706,3367,66,0.737,0,0,0.203412211876352,"Low"
2862,28,"M",1,"Uneducated","Single","$60K - $80K",18,6,3,2,16604,1716,14888,1.025,2580,61,0.649,0.103,0,0.0450761193553503,"Low"
2863,59,"M",1,"High School","Married","$40K - $60K",53,6,2,5,5446,1885,3561,0.643,1505,33,0.32,0.346,0,0.643656047188433,"High"
2864,43,"M",3,"Uneducated","Unknown","$80K - $120K",31,5,1,4,28700,769,27931,0.901,3395,71,0.578,0.027,0,0.042138594119418,"Low"
2865,41,"M",3,"Unknown","Married","$60K - $80K",30,3,1,1,2888,1676,1212,0.534,3798,58,0.812,0.58,0,0.031994358142075,"Low"
2866,46,"M",2,"Graduate","Married","$60K - $80K",34,4,2,0,9451,1280,8171,0.681,3179,79,0.975,0.135,0,0.00494606184975877,"Low"
2867,51,"M",3,"Unknown","Married","$80K - $120K",43,3,4,5,13933,1019,12914,0.875,3504,62,0.771,0.073,0,0.24977541595178,"Low"
2868,44,"M",1,"High School","Married","Less than $40K",33,5,2,2,6130,808,5322,0.747,3411,78,0.592,0.132,0,0.0185077210865779,"Low"
2869,40,"M",3,"Graduate","Married","$60K - $80K",36,6,2,2,15008,0,15008,0.784,3943,85,0.771,0,0,0.0109362535470076,"Low"
2870,32,"M",1,"High School","Married","$40K - $60K",18,4,1,4,4583,1586,2997,0.828,2395,57,0.781,0.346,0,0.133124385340058,"Low"
2871,48,"M",4,"Uneducated","Single","$40K - $60K",37,1,3,4,5268,2191,3077,0.622,2138,40,0.429,0.416,1,0.374159681582589,"Medium"
2872,58,"M",2,"Unknown","Married","$60K - $80K",51,4,2,2,14976,1463,13513,0.635,1599,36,0.565,0.098,0,0.294995843907879,"Medium"
2873,37,"F",3,"High School","Single","Less than $40K",25,3,2,4,2282,0,2282,0.741,2751,68,0.659,0,0,0.152005507433464,"Low"
2874,51,"M",3,"Unknown","Married","$80K - $120K",36,3,3,3,5130,0,5130,0.407,1434,31,0.292,0,1,0.691345195777188,"High"
2875,43,"F",3,"Unknown","Married","Less than $40K",31,4,3,2,5702,0,5702,0.773,3928,75,0.744,0,0,0.0451559111491897,"Low"
2876,41,"M",4,"Uneducated","Single","$80K - $120K",30,3,3,4,14480,0,14480,0.703,1616,43,0.654,0,0,0.426262559896624,"Medium"
2877,51,"M",3,"Graduate","Divorced","$40K - $60K",41,5,3,4,7570,1388,6182,0.909,3849,70,0.591,0.183,0,0.096374894183479,"Low"
2878,52,"M",2,"Doctorate","Married","$80K - $120K",38,4,2,2,12878,1628,11250,0.542,1968,59,0.735,0.126,0,0.0476389768519528,"Low"
2879,61,"M",2,"High School","Single","$60K - $80K",48,5,2,3,26218,0,26218,0.74,3925,88,0.833,0,0,0.00751570999086403,"Low"
2880,49,"M",3,"Post-Graduate","Single","$120K +",36,6,1,5,34516,1323,33193,0.934,3422,78,0.529,0.038,0,0.0253359134550369,"Low"
2881,36,"F",3,"High School","Single","Unknown",23,6,3,4,2804,2090,714,1.248,2812,77,1.081,0.745,0,0.00852464728177708,"Low"
2882,35,"M",1,"Graduate","Married","$40K - $60K",25,5,4,4,5801,1176,4625,1.12,2987,52,0.857,0.203,0,0.316160448360087,"Medium"
2883,63,"F",0,"High School","Married","Less than $40K",53,5,3,2,2271,1278,993,0.375,1550,33,0.65,0.563,0,0.21425223760988,"Low"
2884,36,"F",1,"Post-Graduate","Married","Less than $40K",23,6,3,3,3107,2354,753,1.248,2720,48,1.182,0.758,0,0.0813479707146571,"Low"
2885,33,"F",4,"Graduate","Single","Less than $40K",22,5,1,2,2001,1217,784,0.775,3162,99,0.707,0.608,0,0.000647676713817507,"Low"
2886,33,"M",1,"Graduate","Single","$80K - $120K",26,4,1,0,1438.3,0,1438.3,0.865,2557,55,0.618,0,0,0.0844807707086672,"Low"
2887,65,"M",1,"High School","Single","Unknown",36,4,3,5,4465,703,3762,1.026,4044,66,0.65,0.157,0,0.259978920254819,"Medium"
2888,61,"M",1,"Graduate","Married","$60K - $80K",55,6,2,3,3264,1348,1916,0.756,1665,32,0.524,0.413,0,0.428495380029881,"Medium"
2889,44,"M",4,"Graduate","Unknown","$80K - $120K",34,4,3,2,26856,0,26856,0.581,4222,75,0.471,0,0,0.0185639290163817,"Low"
2890,38,"M",1,"Doctorate","Single","$80K - $120K",29,6,3,3,34516,1435,33081,1.13,4238,85,0.809,0.042,0,0.0068358538704969,"Low"
2891,41,"M",4,"Uneducated","Single","$80K - $120K",32,4,6,3,21756,0,21756,0.817,3063,71,0.511,0,0,0.0346634446560348,"Low"
2892,44,"F",4,"Uneducated","Married","Less than $40K",26,4,1,2,4726,1551,3175,0.544,3658,70,0.628,0.328,0,0.0277161159845884,"Low"
2893,41,"M",5,"Unknown","Single","$60K - $80K",32,2,3,4,34516,2517,31999,0.465,1727,35,0.458,0.073,1,0.344304780600223,"Medium"
2894,45,"F",2,"Unknown","Single","Less than $40K",41,6,2,2,5596,0,5596,0.833,3212,64,0.422,0,0,0.0954893734304561,"Low"
2895,37,"M",0,"Post-Graduate","Single","$80K - $120K",27,5,2,3,15326,0,15326,1.159,2990,55,0.964,0,0,0.191737587870761,"Low"
2896,51,"M",1,"Unknown","Single","$80K - $120K",38,3,1,4,11373,1319,10054,0.693,1976,35,0.75,0.116,0,0.617108552510406,"High"
2897,65,"M",0,"Uneducated","Single","Less than $40K",54,3,1,5,2644,1691,953,0.755,3495,70,0.628,0.64,0,0.0485697527437837,"Low"
2898,37,"F",1,"Graduate","Single","$40K - $60K",27,6,1,2,2673,2517,156,0.714,3052,63,0.75,0.942,0,0.00838286562462673,"Low"
2899,54,"M",4,"Unknown","Married","$60K - $80K",36,3,4,2,7477,1752,5725,0.294,1543,34,0.172,0.234,0,0.328375339124404,"Medium"
2900,46,"M",4,"Graduate","Married","$80K - $120K",33,5,1,3,16227,917,15310,0.479,4314,67,0.634,0.057,0,0.0922516574780727,"Low"
2901,41,"M",2,"Unknown","Single","$80K - $120K",34,3,3,1,19110,2449,16661,1,4478,76,0.727,0.128,0,0.0118166415002477,"Low"
2902,49,"M",2,"Unknown","Single","$40K - $60K",37,5,1,3,2993,1265,1728,0.579,4089,72,0.674,0.423,0,0.0362365216054132,"Low"
2903,51,"M",2,"Graduate","Married","$80K - $120K",40,3,2,4,3290,2461,829,0.797,3591,80,0.739,0.748,0,0.00850490597609522,"Low"
2904,50,"F",3,"High School","Single","Less than $40K",39,4,3,4,11176,2422,8754,1.003,2682,64,0.641,0.217,0,0.0826000440936855,"Low"
2905,48,"F",4,"High School","Married","Unknown",36,4,1,2,21416,0,21416,0.702,4221,75,0.923,0,0,0.0241158730086258,"Low"
2906,53,"M",2,"Graduate","Married","$80K - $120K",41,3,2,5,2492,1668,824,0.651,1606,32,0.882,0.669,0,0.488400103926964,"Medium"
2907,54,"M",2,"Post-Graduate","Single","$60K - $80K",38,3,3,5,14265,1878,12387,0.847,3982,58,0.871,0.132,0,0.33586361559128,"Medium"
2908,46,"F",4,"Unknown","Single","$40K - $60K",35,6,3,2,16985,968,16017,0.455,2961,56,0.647,0.057,0,0.0929931844718324,"Low"
2909,47,"F",4,"High School","Single","Less than $40K",38,4,1,4,7469,1899,5570,0.999,3150,70,0.489,0.254,0,0.0610270168222849,"Low"
2910,52,"F",4,"Graduate","Married","Less than $40K",36,6,1,2,4592,2517,2075,0.572,1470,33,0.737,0.548,0,0.197076537076183,"Low"
2911,43,"F",4,"Graduate","Single","Less than $40K",32,6,3,4,4341,0,4341,0.613,3825,63,0.537,0,0,0.296582701446234,"Medium"
2912,41,"M",4,"Uneducated","Divorced","$80K - $120K",36,6,2,2,34516,0,34516,0.742,4077,67,0.763,0,0,0.0264656925802818,"Low"
2913,34,"M",3,"Post-Graduate","Unknown","$60K - $80K",23,4,3,0,27710,0,27710,0.777,4014,73,0.659,0,0,0.00768760822095813,"Low"
2914,33,"F",1,"College","Single","Less than $40K",17,4,3,2,13431,1583,11848,0.621,2338,71,0.69,0.118,0,0.0172180542834621,"Low"
2915,49,"M",1,"High School","Unknown","$60K - $80K",36,6,3,4,2645,1499,1146,0.67,4251,69,0.533,0.567,0,0.0559369168947323,"Low"
2916,44,"M",3,"Doctorate","Single","$120K +",35,4,1,5,14028,1435,12593,0.57,3683,73,0.738,0.102,0,0.0985532451799194,"Low"
2917,36,"M",1,"Uneducated","Divorced","$80K - $120K",28,4,1,3,34516,774,33742,0.989,3030,74,0.805,0.022,0,0.0129659408561274,"Low"
2918,37,"M",3,"High School","Single","$80K - $120K",31,4,2,4,5699,1006,4693,0.734,2835,57,0.9,0.177,0,0.221452643342355,"Low"
2919,46,"M",3,"Unknown","Divorced","$120K +",34,5,2,4,16284,0,16284,0.889,3018,75,0.5,0,0,0.047611806253495,"Low"
